Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,134,0.4909858056206518,50.0,17.6,1,1.2,16.40625,4.0,3.0,21.0,1.0,50,2.0,0,0.0
C2,135,0.7557347567600108,18.599999999999998,17.7,1,1.6,16.40625,7.0,4.0,21.0,1.0,50,2.0,2,0.0
C2,136,0.6380391018731242,33.6,26.200000000000003,1,2.0,16.40625,24.0,5.0,21.0,1.0,50,1.0,0,0.0
C2,137,0.758951238880883,18.2,17.8,1,2.4,16.40625,11.0,6.0,21.0,1.0,50,2.0,1,0.0
C2,138,0.7622119447177791,18.4,17.9,1,3.2,16.40625,8.0,8.0,21.0,1.0,50,3.0,0,0.0
C2,139,0.7622119447177791,18.2,17.6,1,3.2,16.40625,13.0,8.0,21.0,1.0,50,2.0,2,0.0
C2,140,0.7605761873560926,17.9,17.6,1,2.8,16.40625,7.0,7.0,21.0,1.0,50,3.0,2,0.0
C2,141,0.7739421805817983,18.0,17.7,1,6.0,16.40625,16.0,15.0,21.0,1.0,50,3.0,2,0.0
C2,142,0.4909858056206518,50.0,17.8,1,1.2,16.40625,6.0,3.0,21.0,1.0,50,1.0,0,0.0
C2,143,0.7354075229257557,22.5,18.1,1,2.0,16.40625,15.0,5.0,21.0,1.0,50,1.0,1,0.0
C2,144,0.4909858056206518,50.0,17.8,1,1.2,16.40625,3.0,3.0,21.0,1.0,50,2.0,2,0.0
C2,145,0.7605761873560926,18.3,17.7,1,2.8,16.40625,12.0,7.0,21.0,1.0,50,2.0,1,0.0
C2,146,0.7655148417576507,18.0,17.5,1,4.0,16.40625,12.0,10.0,21.0,1.0,50,3.0,0,0.0
C2,147,0.7573373474871592,18.4,17.8,1,2.0,16.40625,7.0,5.0,21.0,1.0,50,2.0,2,0.0
C2,148,0.7487172129003616,20.8,17.6,1,1.6,16.40625,7.0,4.0,21.0,1.0,50,2.0,0,0.0
C2,149,0.770543534362421,17.9,17.5,1,5.2,16.40625,14.0,13.0,21.0,1.0,50,3.0,2,0.0
C2,150,0.7557347567600108,18.0,17.6,1,1.6,16.40625,6.0,4.0,21.0,1.0,50,2.0,1,0.0
C2,151,0.6677257802241792,32.5,25.7,1,6.8,16.40625,22.0,17.0,21.0,1.0,50,3.0,1,0.0
C2,152,0.4909858056206518,50.0,17.4,1,1.2,16.40625,8.0,3.0,21.0,1.0,50,1.0,1,0.0
C2,153,0.7622119447177791,18.599999999999998,17.8,1,3.2,16.40625,13.0,8.0,21.0,1.0,50,2.0,2,0.0
C2,154,0.7522259848301862,20.400000000000002,17.8,1,1.6,16.40625,7.0,4.0,21.0,1.0,50,2.0,1,0.0
C2,155,0.7573373474871592,17.8,17.6,1,2.0,16.40625,10.0,5.0,21.0,1.0,50,1.0,1,0.0
C2,156,0.7605761873560926,17.9,17.5,1,2.8,16.40625,12.0,7.0,21.0,1.0,50,2.0,1,0.0
C2,157,0.7671814422697458,17.7,17.5,1,4.4,16.40625,12.0,11.0,21.0,1.0,50,3.0,1,0.0
C2,158,0.7655148417576507,18.0,17.6,1,4.0,16.40625,11.0,10.0,21.0,1.0,50,3.0,2,0.0
C2,159,0.758951238880883,18.2,17.7,1,2.4,16.40625,8.0,6.0,21.0,1.0,50,2.0,2,0.0
C2,160,0.763858250896098,18.2,17.7,1,3.6,16.40625,14.0,9.0,21.0,1.0,50,2.0,1,0.0
C2,161,0.7756544418770237,18.1,17.7,1,6.4,16.40625,19.0,16.0,21.0,1.0,50,3.0,2,0.0
C2,162,0.763858250896098,18.1,17.7,1,3.6,16.40625,14.0,9.0,21.0,1.0,50,2.0,0,0.0
C2,163,0.7773749030311967,18.0,17.6,1,6.8,16.40625,19.0,17.0,21.0,1.0,50,3.0,1,0.0
C2,164,0.40070356569969146,50.0,17.5,1,1.2,16.40625,4.0,3.0,21.0,1.0,90,2.0,2,0.0
C2,165,0.4000804301987622,50.0,17.4,1,0.4,16.40625,4.0,1.0,21.0,1.0,90,1.0,2,0.0
C2,166,0.5542990289614085,32.9,27.0,1,5.2,16.40625,27.0,13.0,21.0,1.0,90,2.0,2,0.0
C2,167,0.40102651173054954,50.0,17.5,1,1.6,16.40625,9.0,4.0,21.0,1.0,90,1.0,1,0.0
C2,168,0.6638614604365336,18.1,17.8,1,1.2,16.40625,10.0,3.0,21.0,1.0,90,1.0,0,0.0
C2,169,0.6977445678438781,18.2,17.7,1,3.6,16.40625,17.0,9.0,21.0,1.0,70,2.0,2,0.0
C2,170,0.6931327226609154,18.3,17.7,1,1.6,16.40625,4.0,4.0,21.0,1.0,70,3.0,1,0.0
C2,171,0.7037606996803916,18.1,17.7,1,6.0,16.40625,17.0,15.0,21.0,1.0,70,3.0,0,0.0
C2,172,0.7048152805918526,17.9,17.6,1,6.4,16.40625,17.0,16.0,21.0,1.0,70,3.0,1,0.0
C2,173,0.6949342494879829,18.1,17.8,1,2.4,16.40625,10.0,6.0,21.0,1.0,70,2.0,0,0.0
C2,174,0.6949342494879829,19.400000000000002,17.9,1,2.4,16.40625,6.0,6.0,21.0,1.0,70,3.0,1,0.0
C2,175,0.6931327226609154,18.3,17.7,1,1.6,16.40625,13.0,4.0,21.0,1.0,70,1.0,1,0.0
C2,176,0.7048152805918526,18.0,17.7,1,6.4,16.40625,18.0,16.0,21.0,1.0,70,3.0,1,0.0
C2,177,0.4290954344073689,50.0,17.5,1,1.2,16.40625,8.0,3.0,21.0,1.0,70,1.0,1,0.0
C2,178,0.7027210189426429,18.0,17.7,1,5.6,16.40625,18.0,14.0,21.0,1.0,70,3.0,1,0.0
C2,179,0.6931327226609154,18.4,17.7,1,1.6,16.40625,12.0,4.0,21.0,1.0,70,1.0,1,0.0
C2,180,0.4282301737168955,50.0,17.6,1,0.8,16.40625,6.0,2.0,21.0,1.0,70,1.0,1,0.0
C2,181,0.490440317188257,44.2,34.8,1,5.6,16.40625,31.0,14.0,21.0,1.0,70,2.0,0,0.0
C2,182,0.6940263352002114,18.1,17.6,1,2.0,16.40625,8.0,5.0,21.0,1.0,70,2.0,0,0.0
C2,183,-0.04888308081092013,143.1,88.6,1,12.4,16.40625,82.0,31.0,21.0,1.0,70,2.0,2,0.0
C2,184,-0.1669720840112432,206.9,116.4,1,25.6,16.40625,109.0,64.0,21.0,1.0,70,3.0,1,0.0
C2,185,-0.1588940863874871,194.0,110.60000000000001,1,19.2,16.40625,108.0,48.0,21.0,1.0,70,2.0,1,0.0
C2,186,0.5946885731535074,32.800000000000004,25.9,1,7.2,16.40625,25.0,18.0,21.0,1.0,70,3.0,0,0.0
C2,187,0.49779773673220357,43.6,35.1,1,6.4,16.40625,33.0,16.0,21.0,1.0,70,2.0,0,0.0
C2,188,0.07779145929697112,86.7,50.8,1,4.8,16.40625,48.0,12.0,21.0,1.0,70,1.0,2,0.0
C2,189,0.03297122599618116,104.89999999999999,60.1,1,6.0,16.40625,59.0,15.0,21.0,1.0,70,1.0,1,0.0
C2,190,0.015306031954599883,120.2,71.2,1,13.6,16.40625,68.0,34.0,21.0,1.0,70,2.0,2,0.0
C2,191,0.14371043598687194,60.900000000000006,44.6,1,4.0,16.40625,42.0,10.0,21.0,1.0,70,1.0,2,0.0
C2,192,-0.05908335667105383,141.1,87.6,1,7.2,16.40625,84.0,18.0,21.0,1.0,70,1.0,1,0.0
C2,193,0.5957880416540529,32.800000000000004,26.8,1,7.6,16.40625,26.0,19.0,21.0,1.0,70,3.0,0,0.0
C2,194,0.5977045185112722,33.099999999999994,27.3,1,9.2,16.40625,28.0,23.0,21.0,1.0,70,3.0,1,0.0
C2,195,-0.04358261709080724,143.6,92.1,1,14.4,16.40625,83.0,36.0,21.0,1.0,70,2.0,0,0.0
C2,196,-0.018715936533830912,141.9,93.39999999999999,1,20.0,16.40625,84.0,50.0,21.0,1.0,70,3.0,1,0.0
C2,197,0.09241087550789215,89.89999999999999,49.3,1,12.8,16.40625,48.0,32.0,21.0,1.0,70,3.0,2,0.0
C2,198,0.03523559085400081,116.3,73.5,1,16.4,16.40625,69.0,41.0,21.0,1.0,70,3.0,0,0.0
C2,199,0.6949342494879829,18.0,17.6,1,2.4,16.40625,11.0,6.0,21.0,1.0,70,2.0,1,0.0
C2,200,0.13946221017870342,87.9,49.2,1,4.0,16.40625,44.0,10.0,21.0,1.0,50,1.0,0,0.0
C2,201,0.14328602082439224,90.30000000000001,46.1,1,6.4,16.40625,41.0,16.0,21.0,1.0,50,2.0,1,0.0
C2,202,0.6694541103569089,32.5,26.700000000000003,1,7.2,16.40625,23.0,18.0,21.0,1.0,50,3.0,0,0.0
C2,203,0.6389162948555802,33.5,27.0,1,2.0,16.40625,28.0,5.0,21.0,1.0,50,1.0,2,0.0
C2,204,0.6642930577747808,32.5,26.4,1,6.0,16.40625,28.0,15.0,21.0,1.0,50,2.0,0,0.0
C2,205,0.5694437148432463,45.1,34.7,1,9.6,16.40625,34.0,24.0,21.0,1.0,50,3.0,2,0.0
C2,206,0.5800751009898608,44.699999999999996,34.4,1,11.2,16.40625,39.0,28.0,21.0,1.0,50,3.0,2,0.0
C2,207,0.5431059746643437,47.7,35.3,1,8.8,16.40625,30.0,22.0,21.0,1.0,50,3.0,2,0.0
C2,208,0.5633398153118985,44.4,34.5,1,6.8,16.40625,38.0,17.0,21.0,1.0,50,2.0,0,0.0
C2,209,0.5095803657704107,48.800000000000004,34.4,1,3.2,16.40625,30.0,8.0,21.0,1.0,50,1.0,1,0.0
C2,210,0.6599070928624999,33.0,25.8,1,6.0,16.40625,28.0,15.0,21.0,1.0,50,2.0,2,0.0
C2,211,0.0618369174239036,120.6,81.4,1,6.0,16.40625,75.0,15.0,21.0,1.0,50,1.0,0,0.0
C2,212,0.6410512333522385,34.0,27.099999999999998,1,3.6,16.40625,28.0,9.0,21.0,1.0,50,1.0,2,0.0
C2,213,0.659080545541892,32.9,26.0,1,5.6,16.40625,29.0,14.0,21.0,1.0,50,2.0,0,0.0
C2,214,0.5694437148432463,45.1,34.7,1,9.6,16.40625,35.0,24.0,21.0,1.0,50,3.0,2,0.0
C2,215,0.5702969641379705,44.4,34.6,1,8.4,16.40625,30.0,21.0,21.0,1.0,50,3.0,1,0.0
C2,216,0.5862521565139591,44.2,34.5,1,11.6,16.40625,38.0,29.0,21.0,1.0,50,3.0,0,0.0
C2,217,0.07685551603943647,122.2,73.1,1,10.4,16.40625,61.0,26.0,21.0,1.0,50,2.0,2,0.0
